NU_INSCRICAO;TP_RESPOSTA;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025A;Q025B;Q025C;Q025D;Q025E;Q025F;Q026A;Q026B;Q026C;Q026D;Q026E;Q026F;Q026G;Q026H;Q027;Q028A;Q028B;Q028C;Q028D;Q028E;Q028F;Q028G;Q028H;Q028I;Q028J;Q028K;Q028L;Q028M;Q028N;Q028O;Q028P;Q028Q;Q028R;Q029;Q030A;Q030B;Q030C;Q030D;Q030E;Q030F;Q030G;Q031;Q032A;Q032B;Q032C;Q032D;Q032E;Q032F;Q032G;Q033A;Q033B;Q033C;Q033D;Q033E;Q033F;Q033G;Q033H;Q033I;Q033J;Q034
210054478649;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478651;1;D;;B;C;B;C;C;D;C;C;C;C;B;C;C;C;B;C;C;B;B;D;C;C;B;A;B;B;B;B;B;A;B;B;B;B;B;B;B;;;;;;;;;;;;;;;;;;;B;;;;;;;;B;;;;;;;;;;;;;;;;;;B
210054478653;1;D;;D;E;C;C;C;C;C;C;B;C;C;C;C;C;C;C;C;C;C;B;C;C;B;B;A;B;B;B;B;B;B;A;B;B;B;B;A;B;B;B;B;A;A;A;B;B;B;A;B;B;A;B;B;B;B;A;A;B;B;B;B;B;B;B;;;;;;;;;;;;;;;;;;C
210054478658;1;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478659;1;D;;D;E;A;B;B;B;B;B;B;B;A;B;B;A;B;B;B;A;B;B;B;B;B;B;A;B;A;B;A;B;B;A;B;B;B;B;A;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;A;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B
210054478660;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478662;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478665;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478666;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478668;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478669;1;D;;E;E;C;C;C;C;C;C;C;C;C;C;C;C;C;C;B;B;B;A;B;A;B;B;B;B;A;B;B;B;A;B;B;B;B;B;A;B;B;B;B;B;B;B;B;A;B;B;B;B;A;B;B;B;B;A;A;A;B;B;B;B;B;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B
210054478670;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478671;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478675;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478676;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478678;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478680;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478681;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478683;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478684;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478685;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478686;1;A;A;B;C;C;B;B;B;B;B;B;B;C;B;C;B;B;B;B;A;C;C;C;B;B;A;A;B;B;B;B;B;B;A;B;B;A;B;A;B;A;A;B;A;A;A;A;B;A;B;B;B;B;B;B;B;B;B;;;;;;;;A;A;B;B;B;A;B;B;B;B;B;B;A;B;B;B;B;B;C
210054478687;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478688;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478689;1;A;A;C;C;B;B;B;A;A;A;B;C;A;C;C;C;B;A;B;A;C;C;C;A;B;B;A;B;A;B;B;B;B;A;B;B;B;A;A;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;;;;;;;;B;;;;;;;;;;;;;;;;;;B
210054478690;1;D;;D;E;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;A;A;B;B;A;B;A;B;B;B;B;B;A;B;B;B;B;B;B;A;A;A;B;B;B;B;A;B;B;A;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;A;A;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B;B;B
210054478693;1;D;;D;E;B;B;C;B;C;A;B;A;B;A;B;C;A;C;D;B;B;B;B;A;B;A;A;B;B;B;B;A;B;A;B;B;B;B;A;B;B;B;A;B;B;B;B;B;B;B;A;B;B;B;B;B;B;A;B;A;B;A;B;B;B;B;;;;;;;;;;;;;;;;;;B
210054478695;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478698;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478700;1;A;A;B;C;A;B;B;B;A;A;B;A;B;B;B;B;B;B;B;A;B;A;A;A;B;B;A;B;A;B;B;B;B;A;B;B;A;B;A;A;A;B;B;A;B;A;A;A;A;B;B;B;B;B;B;B;B;B;;;;;;;;B;;;;;;;;;;;;;;;;;;B
210054478701;1;E;;E;E;A;A;A;B;B;A;A;A;A;A;A;A;B;B;C;B;A;B;B;A;B;B;B;B;A;B;B;B;A;B;B;A;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;C;;;;;;;;;;;;;;;;;;B
210054478702;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478703;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478704;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478706;1;D;;E;E;C;B;C;B;B;B;B;B;C;C;C;C;B;B;B;C;B;C;B;B;B;A;A;B;B;B;B;B;B;A;A;B;B;B;A;B;A;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;B;;;;;;;;;;;;;;;;;;C
210054478707;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478708;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478711;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478713;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478714;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478717;1;D;;E;F;C;B;C;B;B;C;B;B;B;B;B;B;B;B;B;A;A;B;B;A;B;B;B;B;A;B;B;B;B;B;B;B;A;B;A;B;B;B;B;B;B;A;A;A;A;A;A;A;A;A;B;A;B;A;B;A;A;B;B;B;B;C;;;;;;;;;;;;;;;;;;A
210054478722;1;A;A;B;C;B;B;B;B;B;B;B;B;B;C;C;B;D;D;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478723;1;A;A;E;C;B;B;C;A;A;A;D;D;C;C;D;A;B;C;C;C;C;C;C;C;B;A;B;B;A;B;B;A;B;A;B;B;B;B;A;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B;A;B;A;B;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B
210054478724;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478726;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478727;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478731;1;D;;A;C;B;B;A;A;B;C;B;A;A;A;B;A;B;C;C;A;A;A;C;A;B;B;B;B;A;B;B;B;A;B;B;B;B;B;A;B;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;A;B;A;A;B;B;B;B;A;B;A;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B
210054478734;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478735;1;D;;E;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478737;1;D;;E;F;B;B;B;B;A;B;B;A;A;A;A;A;A;B;B;A;A;A;A;A;B;A;B;B;B;B;B;B;A;A;B;B;B;B;A;B;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;;;;;;;;C;;;;;;;;;;;;;;;;;;A
210054478740;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478741;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478743;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478744;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478746;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478748;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478752;1;A;A;C;C;B;B;B;C;C;B;B;B;C;C;B;B;B;C;C;B;D;D;B;B;B;A;B;B;A;B;A;B;B;B;B;B;A;B;B;;;;;;;;;;;;;;;;;;;B;;;;;;;;B;;;;;;;;;;;;;;;;;;B
210054478755;1;D;;B;A;C;B;C;C;B;C;C;B;C;C;C;C;B;C;B;A;A;C;B;B;B;A;B;B;A;B;B;B;A;B;B;B;B;A;A;A;B;B;B;B;B;A;A;B;A;B;B;B;B;B;B;B;B;B;;;;;;;;C;;;;;;;;;;;;;;;;;;B
210054478756;1;D;;B;B;B;C;B;B;B;C;B;B;B;B;B;B;C;D;C;B;B;C;B;C;B;A;B;B;A;B;B;A;B;B;B;B;B;A;A;A;A;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B;A;A;B;B;B;B;B;B;B;A;B;B;A;B;B;B;B;B;C
210054478758;1;A;A;C;D;C;C;C;C;D;C;C;C;C;C;C;C;B;C;D;C;C;B;C;B;B;A;B;B;B;B;B;B;B;A;B;B;B;B;B;;;;;;;;;;;;;;;;;;;B;;;;;;;;B;;;;;;;;;;;;;;;;;;C
210054478759;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478761;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478764;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478765;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478767;1;A;A;C;A;C;C;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;B;B;B;B;B;A;B;B;B;B;B;B;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478768;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478769;1;D;;E;E;A;A;A;A;B;B;B;B;B;B;B;B;B;B;A;A;A;A;A;A;B;A;B;B;A;B;B;B;B;A;B;B;B;B;B;;;;;;;;;;;;;;;;;;;B;;;;;;;;B;;;;;;;;;;;;;;;;;;B
210054478772;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478774;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478779;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478781;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478785;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478786;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478788;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478789;1;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478790;1;D;;D;E;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;A;A;A;B;B;B;B;A;B;A;B;B;B;B;A;A;B;B;B;A;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;B;B;A;B;;;;;;;;B;;;;;;;;;;;;;;;;;;B
210054478791;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478794;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478795;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478797;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478798;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478799;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478801;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478802;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478803;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478804;1;A;A;B;C;B;B;B;B;B;B;C;C;A;B;C;C;B;A;B;A;D;D;C;B;B;A;B;B;A;B;B;B;B;B;B;B;A;B;A;B;B;A;A;A;A;A;A;A;B;B;B;B;B;B;A;B;B;B;;;;;;;;A;B;B;B;B;A;A;B;B;B;B;B;B;B;B;B;B;A;B
210054478805;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478808;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478809;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478810;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478812;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478813;1;D;;B;A;B;C;B;B;B;C;B;B;B;B;C;C;A;B;B;A;A;B;B;B;B;A;B;B;A;B;A;B;B;B;B;B;A;B;A;B;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;A;A;A;B;B;B;B;B;C;;;;;;;;;;;;;;;;;;B
210054478814;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478815;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478816;1;D;;C;C;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;A;A;B;B;B;B;A;B;A;B;B;B;B;B;B;B;A;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B;C;;;;;;;;;;;;;;;;;;A
210054478818;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478819;1;A;A;C;C;C;C;C;B;B;C;D;D;D;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478820;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478821;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478822;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478823;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478825;1;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478832;1;D;;E;E;C;C;C;C;C;C;C;C;B;C;C;C;C;C;C;B;C;C;C;C;B;B;B;B;A;B;B;B;B;A;B;B;B;B;A;B;B;B;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;;;;;;;;C;;;;;;;;;;;;;;;;;;B
210054478835;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478840;1;D;;E;E;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;B;B;B;B;A;B;B;B;B;A;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;A;B;B;B;B;B;C;;;;;;;;;;;;;;;;;;B
210054478844;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478846;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478847;1;D;;B;E;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;A;B;A;B;B;B;B;B;B;B;B;B;B;A;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B;A;B;B;B;B;B;A;B;B;B;B;B;B;B;A;B;B;B;B
210054478848;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478849;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478850;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478852;1;A;A;A;C;A;C;C;C;C;B;B;B;B;B;C;C;B;B;C;B;B;C;B;B;B;B;A;B;B;B;B;B;B;A;B;B;A;B;A;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;A;B;B;B;B;B;A;B;B;B;B;B;A;B;B;A;A;B;B;B;B;B;B;B;C
210054478856;1;D;;D;E;B;C;C;D;C;B;C;A;A;C;D;C;D;D;B;A;A;B;C;B;B;A;B;B;A;B;B;B;B;A;B;B;B;A;A;B;B;B;B;B;B;B;B;B;A;B;A;B;B;B;B;A;B;B;;;;;;;;B;;;;;;;;;;;;;;;;;;C
210054478857;1;B;B;E;A;C;C;B;B;D;B;D;D;D;D;D;D;D;D;D;D;D;B;A;A;B;B;B;B;A;B;B;B;B;B;B;A;B;B;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;B;B;A;B;A;B;B;B;B;B;A;B;B;A;B;B;B;B;A;B;B;A;B;B;B;B;B;B;B
210054478858;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478860;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478864;1;A;A;C;C;B;B;B;B;B;C;B;A;B;A;B;A;A;A;B;B;A;B;B;A;B;B;A;B;A;B;A;B;B;A;B;B;B;B;B;;;;;;;;;;;;;;;;;;;B;;;;;;;;A;A;B;B;B;B;A;B;B;B;B;B;B;B;A;B;B;A;B
210054478867;1;A;A;B;C;A;B;B;B;B;C;D;D;C;A;C;C;A;C;D;A;C;C;D;C;B;B;A;B;A;B;B;B;B;A;B;B;B;A;A;B;A;B;B;B;B;A;B;B;B;B;B;B;B;A;B;B;B;A;A;A;B;B;B;B;B;A;B;B;B;B;B;A;B;B;B;B;A;B;B;A;B;B;B;A
210054478872;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478873;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
210054478877;1;D;;D;C;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;A;B;B;B;A;B;B;B;B;B;B;B;A;B;B;B;B;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;B;A;B;A;B;B;B;B;B;C;;;;;;;;;;;;;;;;;;B
210054478883;1;D;;E;E;A;B;A;B;C;B;B;A;B;B;B;A;A;A;B;A;A;A;A;A;B;B;B;B;A;B;B;B;A;B;B;B;B;B;A;B;A;B;B;B;B;A;A;A;A;B;A;B;B;A;B;B;B;A;B;A;A;B;B;B;B;C;;;;;;;;;;;;;;;;;;B
210054478884;1;A;A;A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
