NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023
210062064683;2024;3;M;1;3;1;2;0;1;0;2921005;Mata de São João;29;BA;E;F;C;D;5;B;F;A;B;C;B;D;B;A;B;B;B;C;A;B;B;E;A
210062064684;2024;11;F;1;3;1;1;9;;0;5208707;Goiânia;52;GO;E;B;B;B;3;B;B;A;B;C;A;A;B;A;A;A;A;B;A;A;A;B;A
210062064685;2024;1;F;1;3;1;3;0;;1;5210406;Itaberaí;52;GO;C;E;C;B;3;A;C;A;B;D;B;B;B;A;B;B;A;A;A;B;A;B;A
210062064686;2024;3;M;1;1;1;2;0;1;0;3509502;Campinas;35;SP;F;F;E;E;3;A;P;A;D;D;C;B;B;A;B;B;B;C;B;B;D;D;D
210062064687;2024;8;F;1;1;1;1;4;;0;3154606;Ribeirão das Neves;31;MG;B;B;B;B;2;B;D;A;B;D;A;A;B;A;B;B;A;D;A;B;B;C;A
210062064688;2024;7;M;1;2;1;1;4;;0;3301306;Casimiro de Abreu;33;RJ;E;D;C;B;3;B;B;A;B;C;A;A;B;A;B;A;B;A;A;B;C;D;A
210062064689;2024;7;M;1;3;1;1;4;;0;1600303;Macapá;16;AP;B;G;B;D;8;A;D;A;B;D;A;A;C;B;B;A;A;D;A;B;B;E;A
210062064690;2024;5;M;1;4;1;1;0;;0;2507507;João Pessoa;25;PB;B;E;A;B;3;B;E;A;B;C;A;A;B;A;B;A;A;B;A;B;B;C;A
210062064691;2024;14;M;1;3;1;1;18;;0;2103000;Caxias;21;MA;B;B;A;B;3;B;B;A;B;D;A;B;B;A;A;A;A;B;A;B;B;D;A
210062064692;2024;4;M;1;1;1;2;0;1;0;4313201;Nova Petrópolis;43;RS;E;F;E;D;4;B;H;A;C;D;C;B;B;B;B;A;A;B;A;B;C;D;A
210062064693;2024;11;F;1;2;1;1;13;;0;3302403;Macaé;33;RJ;A;B;A;B;1;B;B;A;B;B;A;A;B;A;B;A;A;A;A;B;A;B;A
210062064694;2024;6;M;1;1;1;1;0;;0;2911709;Guanambi;29;BA;F;E;C;B;6;A;B;A;A;B;A;A;B;A;A;A;A;A;A;B;A;B;A
210062064695;2024;7;M;1;1;1;4;0;;0;5103403;Cuiabá;51;MT;E;C;B;B;3;A;A;A;B;C;A;A;B;A;B;A;A;B;A;B;A;C;A
210062064696;2024;17;F;1;3;2;1;18;;0;3505708;Barueri;35;SP;C;A;A;A;9;B;C;A;B;B;B;A;B;A;B;A;A;A;A;B;B;B;A
210062064697;2024;13;F;2;1;1;1;17;;0;1501402;Belém;15;PA;C;G;C;D;5;A;B;A;B;B;A;A;B;A;A;A;A;A;A;B;B;D;B
210062064698;2024;5;F;1;4;1;1;3;;0;3122306;Divinópolis;31;MG;H;F;F;D;3;A;E;A;C;D;C;C;B;A;B;B;A;B;A;B;B;B;A
210062064699;2024;13;M;2;3;1;1;18;;0;1100320;São Miguel do Guaporé;11;RO;B;B;A;A;5;B;G;A;B;C;B;B;B;A;B;A;A;A;A;B;B;D;A
210062064700;2024;9;F;1;1;1;1;6;;0;2105302;Imperatriz;21;MA;E;G;D;D;2;B;C;A;D;D;A;A;C;A;B;A;B;B;A;B;B;C;D
210062064701;2024;11;M;1;1;1;1;9;;0;3509502;Campinas;35;SP;F;F;C;E;4;A;G;C;C;D;B;A;B;A;B;B;B;C;B;B;D;E;B
210062064702;2024;9;F;1;3;1;1;7;;0;3550308;São Paulo;35;SP;E;E;C;C;2;B;D;A;C;C;B;A;C;A;B;B;B;C;B;B;B;C;D
210062064703;2024;4;F;1;3;1;1;1;;0;1302603;Manaus;13;AM;D;D;A;A;5;A;A;A;B;B;A;A;B;A;A;A;A;B;A;A;A;B;A
210062064704;2024;6;M;1;1;1;1;4;;0;3549904;São José dos Campos;35;SP;G;F;E;D;4;A;J;B;D;D;D;A;C;B;B;B;B;D;A;B;D;E;D
210062064705;2024;11;F;1;3;1;1;0;;0;3304557;Rio de Janeiro;33;RJ;E;E;C;B;6;B;D;A;B;C;A;A;B;A;B;B;A;C;A;B;B;D;D
210062064706;2024;5;F;1;1;1;1;0;;0;4314100;Passo Fundo;43;RS;H;E;F;B;5;B;D;A;B;C;B;A;B;A;B;B;B;B;A;B;A;D;A
210062064707;2024;11;F;0;1;1;1;11;;0;4314100;Passo Fundo;43;RS;E;E;B;C;4;A;F;A;B;D;C;A;B;B;B;B;B;C;B;B;D;C;A
210062064708;2024;16;F;1;1;1;1;13;;0;4106902;Curitiba;41;PR;D;D;B;B;1;B;B;A;B;B;A;A;B;A;A;B;A;A;A;A;A;B;A
210062064709;2024;12;F;1;3;1;1;17;;0;3111200;Campo Belo;31;MG;D;E;C;B;4;A;F;A;C;D;B;A;B;A;B;B;A;C;A;B;B;E;A
210062064710;2024;1;M;1;3;1;3;0;;1;4106902;Curitiba;41;PR;E;G;F;F;3;A;F;A;C;C;B;A;B;A;B;B;B;B;A;B;B;B;A
210062064711;2024;10;F;1;3;1;1;8;;0;4105805;Colombo;41;PR;H;E;F;D;6;B;G;A;C;D;A;A;B;A;B;B;A;C;A;B;B;E;A
210062064712;2024;1;M;1;1;1;3;0;;1;2111508;São Mateus do Maranhão;21;MA;E;E;F;A;2;A;B;A;B;C;A;A;B;A;A;A;A;B;A;B;A;C;A
210062064713;2024;2;F;1;1;1;3;0;;1;3552403;Sumaré;35;SP;C;C;C;A;4;A;H;A;B;D;B;A;B;A;B;B;A;C;A;B;C;E;A
210062064714;2024;12;F;2;3;1;1;17;;0;2312908;Sobral;23;CE;B;B;A;C;4;B;D;C;C;D;B;A;B;A;B;A;A;B;A;B;B;D;A
210062064715;2024;1;F;1;3;1;3;0;;1;5300108;Brasília;53;DF;E;D;F;C;5;A;C;A;D;D;C;A;B;A;B;B;A;C;A;B;B;E;A
210062064716;2024;2;M;1;3;1;2;0;1;0;3151404;Pitangui;31;MG;D;D;C;C;2;B;E;A;B;C;A;A;B;B;B;B;A;C;B;B;B;C;A
210062064717;2024;10;M;1;3;1;1;0;;0;5201405;Aparecida de Goiânia;52;GO;E;D;C;C;3;B;H;A;C;C;C;A;B;B;B;B;A;C;A;B;A;D;A
210062064718;2024;6;M;1;3;1;1;4;;0;3518404;Guaratinguetá;35;SP;F;E;E;B;5;B;B;A;D;D;D;B;B;B;B;B;B;D;A;B;D;E;C
210062064719;2024;4;F;1;3;1;1;2;;0;3205200;Vila Velha;32;ES;G;G;D;D;2;A;H;A;B;C;A;A;B;A;B;A;A;B;A;B;B;B;D
210062064720;2024;17;F;1;3;1;1;18;;0;2610707;Paulista;26;PE;A;C;C;B;2;B;D;A;B;C;A;A;B;A;B;A;A;B;A;A;A;C;B
210062064721;2024;6;M;1;1;1;1;0;;0;4312401;Montenegro;43;RS;C;D;B;A;4;A;I;A;C;D;B;A;B;A;B;B;B;C;B;B;C;D;A
210062064722;2024;11;F;1;3;1;1;11;;0;3136702;Juiz de Fora;31;MG;E;E;B;D;1;B;B;A;B;C;A;A;B;A;B;B;A;B;A;B;B;B;A
210062064723;2024;2;F;1;3;1;2;0;1;0;5300108;Brasília;53;DF;E;E;C;B;4;A;B;A;B;C;B;A;B;A;B;A;A;B;A;B;A;D;A
210062064724;2024;10;M;1;1;1;1;8;;0;1200401;Rio Branco;12;AC;F;F;D;D;2;B;B;A;B;C;A;B;B;A;A;A;A;B;A;B;B;C;A
210062064725;2024;12;M;1;1;2;1;16;;0;4104808;Cascavel;41;PR;D;D;C;D;1;B;G;A;B;C;B;A;B;A;B;B;B;B;A;B;B;B;A
210062064726;2024;4;F;1;1;1;1;1;;0;4322509;Vacaria;43;RS;C;C;A;D;2;A;C;A;B;D;B;A;B;B;B;A;B;B;B;B;B;C;A
210062064727;2024;11;F;1;1;1;1;13;;0;5002407;Caarapó;50;MS;B;B;C;C;3;A;B;A;B;B;A;B;B;A;A;B;A;B;A;B;B;B;A
210062064728;2024;8;F;1;3;1;1;7;;0;3168606;Teófilo Otoni;31;MG;B;H;F;F;5;B;C;A;B;C;A;B;B;A;A;B;A;B;A;B;A;E;A
210062064729;2024;1;M;1;1;1;3;0;;1;4314902;Porto Alegre;43;RS;F;C;D;C;5;A;C;A;C;D;B;B;B;A;B;B;B;B;B;B;B;E;A
210062064730;2024;13;F;0;3;1;1;0;;0;4313904;Panambi;43;RS;A;A;C;B;2;B;E;A;B;C;A;A;B;A;B;B;A;B;A;B;B;C;A
