NU_SEQUENCIAL;NU_ANO;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO
1306406;2024;;;;;;;;;3539806;Poá;35;SP;1;1;1;1;1421;1386;1397;1409;496.1;468.9;448.7;387.5;DBCACBBDBCBDECACDCBCDBCBBDBEDDDADEBEAEECCDCAD;DCACDCEACEEBCABADCCDCBBBDBDCECAEEACCBDECCDDAA;ADCDECBAEDECCBDDCDCEEABBDAEECAEDBBAAADDADBEED;DDBBDCBCDECBBDBCCDCCECBDBCDCCBECECABCECBECBAE;1;DDBDDEBBAAEDECBCEEDCAACDBBCEDBBAEXCCAEAACCAED;ACBCADCEDBAECEDADBADBEBCDADABCDEABCAEDEBBCECE;AACEADACDDCBEDADEEBDDBDBBCEECBDCBADDDCBDEDDCECBECE;CEBCEADBBCEADDDABBABBCCDCCECEDBACADECABEDADCB;1;120;160;120;140;140;680
1897860;2024;;;;;;;;;2408102;Natal;24;RN;1;1;1;1;1419;1385;1398;1407;557.2;534.9;581.4;431.9;BCBADCAEADCCACBDEBBDBBDCEBEADABECCEAEDEDBDCBB;BABBADDCCBCCDDABBEBABCAACEEDEBBECACECBBDCCBCB;BDAAABDCBDEECCAAAAEDADDEBCBEABBBCCDDBCDDDEECB;BACDACBCAAEDBBCBADDDABCDDAABABDCDECDAEBDBDCBD;1;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1;120;140;120;80;120;580
493697;2024;12013242;1200401;Rio Branco;12;AC;2;1;1;1200401;Rio Branco;12;AC;1;1;1;1;1422;1384;1396;1410;478.2;497.4;502.6;398.4;CCBBBAAAEBABDADECDDADBABDCBEEDDBBECEEDEBCADEA;AADCBBCEACBDEBECADCBAADCBBEDCEDBEBCEABDBECEBA;DDCBBCADCCBBDEEDBDBDAEAEEDECADBDEADECA*BDEBCE;BBDCEAEDDEDBEDBECACBBACDBAABABCADACBDABCABBAD;1;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;80;140;120;120;120;580
2301898;2024;35109101;3548807;São Caetano do Sul;35;SP;4;1;1;3548807;São Caetano do Sul;35;SP;1;1;1;1;1420;1383;1395;1408;446.7;493.2;481.8;450.1;DBEBAEBBADEBBCBADBECDEBECDEBDEEBACCBECEDEAACD;DAAECABCDEBDBCEBDECEDBBCAEAEEBDACBADEEACDBCBA;ACADABCBEECDADACEBDADBEDBAEDBBEBDBDAECCAADECA;CDCEABEADDBDECBBCACBACBDBBAEACDDBECEDDBCACBDE;0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1;120;180;140;160;120;720
2928007;2024;;;;;;;;;3520400;Ilhabela;35;SP;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;
2582490;2024;;;;;;;;;2309300;Nova Russas;23;CE;1;1;1;1;1422;1384;1396;1410;468.6;507.6;483.5;405.9;CCDDBAAAEDDBAAACBCAAABEDDCBEABEEBACBDBCCCADDA;ADDDBCAEABADBEDBEACADBDEBEAAECEEBACDADDABCCEA;BCDACBEDDCBCDADEADDAADBECAABEECDABDEDBCEEEBAA;BDDCCDEBDBEDCBDBDEBACCDDAAACABCAEAADDEBEDBBDA;1;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;160;180;140;160;200;840
3195912;2024;29336473;2927408;Salvador;29;BA;2;1;1;2927408;Salvador;29;BA;1;1;1;1;1419;1385;1398;1407;468.7;513.9;573.2;536.5;ECBCEACCDCCCDEACADBDABECEACBCDBECCBEEBCDCEDBC;CBDDCBDBDBACCBAAEBDADBAACBEAEABCEACBBBACBDBCD;BAAACABCACEECECDBABCABEEBABEBDDBDDBDADDDDAECB;CDDACCEDEDCBDECCDACBCBACBCDDCDDCEBADEAECCCACC;0;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1;120;120;100;120;120;580
3181661;2024;;;;;;;;;3509502;Campinas;35;SP;1;1;1;1;1419;1385;1398;1407;531.8;385.2;524.2;405.4;BDBDDCBCECDCBBDDCDDDAAACCEEBCEEECCEEBEDBCBDEB;DBEBADBCDBCECADEBDCEACDAEBDAECDBEACBDABCDCBEA;DCABECBCBCEECCAAAADCADDEACAEEDBBDABDCEAD*CECA;DCBDCCBBAABAEDEEBDADADCBDCEBCDADCBECBEDBACDEA;0;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1;140;180;140;140;80;680
1471341;2024;50005928;5002704;Campo Grande;50;MS;2;1;1;5002704;Campo Grande;50;MS;1;1;1;1;1420;1383;1395;1408;498;564.8;545.2;431;EDEDDEDCAEECBDEBCEBCBCDABBBCBBEBEDDBEAEECDABA;AACBBEBCECDDAEEDCBCEEAECCBACAACAEEADAADADABCB;CBADCBCBECDDDAABECDCEBDCEBDBDDCBDADDCDECABEEA;DCECACEEAADCBEEAAECDABACBABDCBDECBBDDDEDCCABE;0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1;120;120;120;100;40;500
4071676;2024;;;;;;;;;4315602;Rio Grande;43;RS;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;
1141005;2024;;;;;;;;;2304400;Fortaleza;23;CE;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;
1569378;2024;;;;;;;;;3146107;Ouro Preto;31;MG;1;1;1;1;1422;1384;1396;1410;420.4;529.1;585.9;498.9;CDABCBCDDCBEDBCCBECCCDCCCBADEBEDCDBBDADECADDB;BAAABCEABCAEABBADDAABCDABADAEEDCCAAEEECACCEDA;DDDCEDADDCBBDBEEBDAEDCBEDDACBDADEBDCEACECECDC;BAEEEDEDCCDEDDDDCABBDACCCDEEAEECBAADAACCEDCDE;1;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;120;140;100;120;100;580
2566781;2024;33067791;3304557;Rio de Janeiro;33;RJ;2;1;1;3304557;Rio de Janeiro;33;RJ;1;1;1;1;1419;1385;1398;1407;416.7;517.2;537.1;506.8;ACBABDECEBDCADEBEBCADBEACACECDCEEDABECDBACDAE;DABACCEBEADCECADDEBACCAACDADEBDCDADEBEAECADCC;DCABEDBCBDEECCEBDACEBDECBBDEACEBCACDBCEDDBECD;CDDACBDEACDEBEBCDADBECAEDBCEADCEAEDBCEADEBEAC;0;BCEAACDEDCAAEDDDEBBDDBECCAEDBBAAACCAEEXCBBCED;CAEDBADBEBCCEDADBAEACBCADCEDEBBEBACECEABCDDAD;EAAACDDCDADDCBDEECEECBDCDADEEBCBEBADBCEBDBDDDDCECB;ABBABBADDDBBCECEADCEBCCCDBADCBEDAECADACDBCECE;1;100;160;120;120;100;600
2687191;2024;33058601;3303500;Nova Iguaçu;33;RJ;2;1;1;3303500;Nova Iguaçu;33;RJ;1;1;1;1;1422;1384;1396;1410;519.3;525.8;559;624.1;ACDCCEABEBCEDEDCBECDEEACDCEAEBEBBBCEDBEBCACDD;AADABCDBECBDADDCEACABDBACBEACBEEEABEACBEDDCCA;ADA*DDABECBCDAEEBDAADECEDDCADBDDEBCCBCEECDBBC;BBDCBBADACABBCADCDABBCBCBBBABEACDBDBDBACEBBED;0;BBCEDBBAEXCCAEDDBCAEDAACAAEDDDEBBECBCEEDCAACD;DADABCDCECEDEBBBEBCDBADACBCADCEBEADBAECAECEDA;AACEADDDACDADECBBDBEEBDDECCBEDDCADBBDEBCEBDCECEDDC;DBCECEACADABBECBEDADCCDCCABBBCECEBCEADABBADDD;1;100;160;120;120;120;620
579040;2024;35005113;3550308;São Paulo;35;SP;2;1;1;3550308;São Paulo;35;SP;1;1;1;1;1420;1383;1395;1408;497.9;481.3;429.6;536.8;EDDCBCBBACEDBAABDECBDBACCBDBECCEEAEBCBDABBEDA;ACCAABBDABBDBEBBAEBCDBEACCADEBDCCCDDDCBDDABBD;DBAADECBECDBDDEDEB...........................;BDDDECBDBBECDEBCDBCBBACCEEDBBAABBEDAEADDBACCC;0;CAEDAACCAEEXCBBAEDBBCAACDEDCBCEECAAEDDDEBBDDB;CECEBEBCDBADDEBBABCDCAECEDADBAEABEADCEDADACBC;CAAAECDDDAECBECEDDCBDEDDCECBDCBCEADBBDBDDCBEDADEEB;CECEBEDADCAADECDBBCEBDCCCACABBABBADDDCEADBBCE;1;120;120;100;100;100;540
