NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;CO_MUNICIPIO_RESIDENCIA;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;TP_PRESENCA;CO_PROVA;VL_PERC_COMP1;VL_PERC_COMP2;VL_PERC_COMP3;VL_PERC_COMP4;VL_PERC_COMP5;NU_NOTA_OBJETIVA;TX_RESPOSTAS_OBJETIVA;TX_GABARITO_OBJETIVA;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;IN_QSE;Q1;Q2;Q3;Q4;Q5;Q6_1;Q6_2;Q6_3;Q6_4;Q6_5;Q6_6;Q6_7;Q6_8;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14;Q15;Q16_1;Q16_2;Q16_3;Q16_4;Q16_5;Q16_6;Q16_7;Q16_8;Q16_9;Q16_10;Q17_1;Q17_2;Q17_3;Q17_4;Q17_5;Q18;Q19;Q20;Q21;Q22;Q23;Q24;Q25;Q26;Q27;Q28;Q29;Q30_1;Q30_2;Q30_3;Q30_4;Q31;Q32;Q33_1;Q33_2;Q33_3;Q33_4;Q33_5;Q33_6;Q33_7;Q34_1;Q34_2;Q34_3;Q34_4;Q34_5;Q34_6;Q34_7;Q35;Q36;Q37;Q38;Q39;Q40;Q41;Q42_1;Q42_2;Q42_3;Q42_4;Q42_5;Q43_1;Q43_2;Q43_3;Q43_4;Q43_5;Q44_1;Q44_2;Q44_3;Q44_4;Q44_5;Q44_6;Q44_7;Q44_8;Q44_9;Q44_10;Q44_11;Q44_12;Q44_13;Q44_14;Q44_15;Q44_16;Q45_1;Q45_2;Q45_3;Q45_4;Q45_5;Q45_6;Q45_7;Q45_8;Q46;Q47_1;Q47_2;Q47_3;Q47_4;Q47_5;Q47_6;Q47_7;Q48_1;Q48_2;Q48_3;Q48_4;Q48_5;Q48_6;Q48_7;Q48_8;Q48_9;Q48_10;Q48_11;Q48_12;Q49;Q50;Q51;Q52;Q53;Q54_1;Q54_2;Q54_3;Q54_4;Q54_5;Q54_6;Q54_7;Q54_8;Q55;Q56;Q57_1;Q57_2;Q57_3;Q57_4;Q57_5;Q57_6;Q57_7;Q58_1;Q58_2;Q58_3;Q58_4;Q58_5;Q58_6;Q58_7;Q58_8;Q58_9;Q58_10;Q59_1;Q59_2;Q60_1;Q60_2;Q61_1;Q61_2;Q62_1;Q62_2;Q63_1;Q63_2;Q64_1;Q64_2;Q64_3;Q64_4;Q64_5;Q64_6;Q64_7;Q64_8;Q64_9;Q64_10;Q64_11;Q64_12;Q64_13;Q65_1;Q65_2;Q65_3;Q66;Q67;Q68;Q69_1;Q69_2;Q69_3;Q69_4;Q69_5;Q69_6;Q69_7;Q69_8;Q70;Q71_1;Q71_2;Q71_3;Q71_4;Q71_5;Q71_6;Q72_1;Q72_2;Q72_3;Q72_4;Q72_5;Q72_6;Q72_7;Q73_1;Q73_2;Q73_3;Q73_4;Q73_5;Q73_6
604;2002;1;F;1101609;THEOBROMA;11;RO;1101609;THEOBROMA;11;RO;2;1;1;1;B;36.36;39.22;38.1;36.36;46.67;38.1;CBACACCCDDCEBCBAACEEBEBBECBECEDECCCBCEAECEAAEEDCAECDCDBCCBCDECC;ABAEADBCCACECCEEDACCBECBAEBEEDBBCCDBAEBBEEAACEBACDCBCDCDEDBBDCA;P;75;50;50;62.5;50;57.5;1;A;A;A;A;A;B;A;A;B;B;A;B;B;C;E;E;H;C;H;F;E;D;B;A;B;A;F;A;F;A;A;A;A;B;A;A;A;B;D;C;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;B;B;A;B;C;A;A;B;A;B;B;A;B;B;C;B;A;8;8;5;0;7;0;0;7;4;5;5;6;5;5;9;0;A;A;B;B;B;A;B;B;E;A;A;B;A;B;A;B;8;8;8;5;8;8;5;5;5;5;8;6;G;F;A;F;C;A;B;B;B;B;B;A;A;D;E;B;B;B;B;B;B;A;B;B;A;A;A;B;A;B;A;B;A;C;F;B;B;C;C;F;F;E;B;B;B;A;B;A;A;A;B;A;B;B;A;E;D;B;B;E;E;5;5;4;2;.;5;3;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
605;2002;2;M;1100114;JARU;11;RO;1100114;JARU;11;RO;2;1;1;1;V;15.15;17.65;14.29;18.18;22.22;17.46;CEEBDACDCDAABDABCDABDBEBCCCABCBCCDAEDBDCBDCCDDDCCDCBDDEABCDCDCE;CDBCBACDEEDBCCECCACABAACEBEADEEACDEACEBACDCBBBCAEBBDBBDCACBEEED;P;50;37.5;37.5;37.5;37.5;40;1;B;A;A;A;A;B;A;A;B;B;A;B;B;D;E;F;E;E;G;G;.;D;B;A;A;B;B;A;B;B;F;A;A;A;A;A;B;A;B;B;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;B;A;A;B;A;A;.;B;A;B;B;A;B;B;B;C;B;8;7;4;5;6;0;7;;8;8;8;1;7;6;0;6;A;A;A;A;*;*;A;A;A;A;A;A;A;A;A;A;3;7;8;*;5;4;5;5;2;2;5;6;H;H;A;D;B;A;B;B;A;B;B;A;B;D;F;B;B;B;B;B;B;A;B;C;B;B;A;A;B;A;A;B;B;C;F;A;B;D;B;F;F;A;B;A;B;B;A;A;A;B;B;B;A;A;A;E;C;D;H;F;A;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
606;2002;4;F;1100114;JARU;11;RO;1100114;JARU;11;RO;2;1;1;1;R;21.21;17.65;19.05;27.27;24.44;19.05;BDEBEDCADBBBBBEDBCBBCBCDABCDEEAACDDEDDCAAEBEEAACDDABDCDADBDDEAC;EADCBACDBABAACACEBEEDBCCECCACAEBBEBEEDEEABBCACDCBCDDBBDCACDECBE;P;62.5;50;37.5;37.5;50;47.5;1;A;C;A;B;E;B;B;B;A;B;B;B;B;A;E;A;B;A;H;G;H;B;A;F;A;F;F;A;F;A;F;F;A;B;A;A;B;B;D;B;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;B;A;B;A;A;A;B;B;B;B;A;B;A;B;B;C;B;9;0;6;8;0;0;0;7;7;0;0;0;0;9;9;8;A;B;B;B;B;B;A;B;B;A;A;B;A;B;A;B;*;*;*;2;1;*;*;*;3;*;5;*;G;F;F;F;D;A;B;B;B;B;B;B;B;D;A;B;B;B;B;B;B;B;A;C;A;A;B;A;A;B;A;B;A;E;F;C;B;C;F;B;B;D;A;B;A;A;A;A;A;A;B;A;B;B;A;E;D;*;*;C;E;7;6;5;4;3;2;1;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
607;2002;2;F;1100114;JARU;11;RO;1100114;JARU;11;RO;2;1;1;1;V;42.42;39.22;38.1;48.48;44.44;42.86;EABBEACDEBDBCCBACBBEEABBCBECEBAEEDEBDECBAADBEBBAEBBABCDADBBECEA;CDBCBACDEEDBCCECCACABAACEBEADEEACDEACEBACDCBBBCAEBBDBBDCACBEEED;P;87.5;87.5;87.5;87.5;75;85;1;A;A;A;A;A;B;B;A;B;B;A;B;B;C;E;E;F;D;C;C;D;C;A;F;A;F;F;A;F;A;A;A;A;B;A;A;A;B;B;A;B;B;B;B;A;B;C;F;A;A;B;B;A;B;B;.;.;.;.;.;.;.;B;A;A;B;B;A;B;B;A;A;B;A;A;A;B;B;B;B;B;B;B;B;B;B;7;7;3;6;7;0;5;6;7;8;9;8;8;9;.;7;B;A;A;B;B;B;A;A;E;A;A;B;A;B;A;B;9;9;8;8;9;9;5;5;5;5;5;5;H;L;B;E;C;A;B;B;B;B;B;A;B;D;B;B;B;B;B;B;B;A;A;B;A;A;B;A;A;B;B;C;C;A;E;B;B;C;F;B;E;F;B;B;B;A;A;A;A;A;B;A;A;B;A;E;D;B;B;E;E;6;7;5;3;4;8;1;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
608;2002;11;F;1100114;JARU;11;RO;1100114;JARU;11;RO;2;1;1;1;R;15.15;25.49;26.19;24.24;17.78;22.22;BEDBBBBAEBBADBDACBAACCAACBCCCDBABBCBBDDECBBCBEEAEBACDCBAABEDBCA;EADCBACDBABAACACEBEEDBCCECCACAEBBEBEEDEEABBCACDCBCDDBBDCACDECBE;P;62.5;50;50;37.5;37.5;47.5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
609;2002;2;F;1100114;JARU;11;RO;1100114;JARU;11;RO;2;1;1;1;V;27.27;31.37;21.43;33.33;26.67;28.57;BBBEDACDBDCCCBECCBBBCADBDDCCEAACAEAAECECBBCBDBBBCCECBBBCABDECCB;CDBCBACDEEDBCCECCACABAACEBEADEEACDEACEBACDCBBBCAEBBDBBDCACBEEED;P;87.5;62.5;62.5;62.5;50;65;1;A;A;B;A;A;B;A;A;B;B;A;B;B;E;E;B;E;C;H;G;H;D;B;A;C;A;A;A;A;B;A;B;A;B;A;A;B;A;B;C;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;B;B;A;B;A;A;A;B;A;B;B;A;B;A;C;B;A;6;6;5;5;7;0;3;8;7;6;8;5;7;7;9;9;A;A;A;B;A;A;A;A;A;A;A;B;A;B;A;B;6;7;6;6;6;8;7;5;7;8;7;7;I;H;A;F;B;A;B;B;B;B;A;A;A;D;A;B;B;B;A;B;B;A;A;B;A;A;B;B;A;B;A;C;C;E;F;A;B;A;F;A;F;E;B;B;A;A;B;A;A;A;B;A;B;B;A;*;E;B;B;A;B;3;6;8;6;5;2;4;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
610;2002;11;M;1100114;JARU;11;RO;1100114;JARU;11;RO;2;2;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
611;2002;11;F;1100114;JARU;11;RO;1100114;JARU;11;RO;2;1;1;1;B;15.15;21.57;11.9;21.21;26.67;20.63;AEACCBABBBDBCCBCBEBCBEECEBBCBCCCDDAADCDAAAAEBAEBCADCCDAEABCDBBA;ABAEADBCCACECCEEDACCBECBAEBEEDBBCCDBAEBBEEAACEBACDCBCDCDEDBBDCA;P;50;50;37.5;50;50;47.5;1;A;*;C;B;A;B;B;B;A;B;B;B;B;A;E;A;A;A;H;G;K;B;A;F;A;F;F;A;F;A;F;A;A;B;A;A;B;A;B;A;A;E;A;D;A;A;C;J;D;A;A;B;A;C;A;B;B;B;A;B;B;B;B;A;A;A;B;.;.;B;A;*;B;B;A;C;B;A;B;B;B;B;B;B;C;C;7;7;5;7;7;5;0;1;6;6;5;7;7;7;7;;A;A;B;B;B;B;A;A;D;B;A;B;A;B;A;B;7;7;7;6;6;6;5;5;5;7;6;7;G;G;A;F;C;A;B;B;B;B;B;A;B;D;A;B;B;B;*;B;B;B;C;B;B;B;B;B;B;C;A;C;C;E;F;C;B;A;B;H;E;B;B;A;B;A;B;A;A;A;B;A;A;B;A;*;*;*;*;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
612;2002;3;F;1101500;SERINGUEIRAS;11;RO;1100122;JI-PARANA;11;RO;4;1;1;1;A;15.15;17.65;23.81;21.21;17.78;19.05;DABCCBCEBBEEBCEADAAAEEEBBCEEACDBBEBEBDEEBBCEBDDAAECCDBADEDDEABA;ACEEDBCCECCACABACBAEBEEDEADCDBEEAACEBBBCACDCBCDCDEDBBDCACBEAEBB;P;75;62.5;50;62.5;50;60;1;A;B;A;A;A;B;B;A;B;B;A;B;B;B;E;E;C;D;E;E;B;C;A;A;A;A;A;A;A;A;A;A;A;B;A;A;A;B;D;A;A;E;C;A;A;B;C;F;D;B;B;B;B;B;A;A;A;A;A;B;A;B;A;A;A;A;A;A;A;B;A;A;B;C;A;A;A;A;B;B;A;A;A;B;A;A;5;6;8;4;3;0;0;0;4;3;0;7;6;3;8;5;B;B;B;B;B;B;B;B;A;A;B;B;A;B;B;B;8;7;7;6;5;9;3;3;2;1;*;2;I;H;F;F;C;A;B;B;A;B;B;A;B;B;B;B;B;B;A;B;B;A;B;B;B;A;A;A;A;A;A;A;C;A;F;C;B;C;F;B;B;E;B;B;B;A;B;A;A;A;B;A;B;B;A;D;B;C;B;C;E;3;6;5;6;5;5;3;2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
613;2002;9;F;1101559;TEIXEIROPOLIS;11;RO;1101559;TEIXEIROPOLIS;11;RO;3;1;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
614;2002;3;M;1100122;JI-PARANA;11;RO;1100122;JI-PARANA;11;RO;2;1;1;1;A;12.12;15.69;16.67;15.15;22.22;15.87;BBBACDCEBBBBDBBCAADEEEADBECBDDDBABABCDACDAEEEBEEABCDBCACBDDAADD;ACEEDBCCECCACABACBAEBEEDEADCDBEEAACEBBBCACDCBCDCDEDBBDCACBEAEBB;P;50;50;50;50;50;50;1;B;B;A;A;A;B;A;A;B;B;A;B;B;D;E;C;C;C;H;C;A;D;*;A;A;F;B;A;F;A;A;A;A;A;A;A;A;A;D;B;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;B;A;A;B;C;A;A;B;A;B;B;A;B;B;B;C;A;0;8;0;5;9;0;0;3;7;0;8;0;2;7;0;3;A;A;A;B;B;B;A;A;*;A;A;B;A;B;A;B;2;7;9;7;8;5;7;7;1;8;3;4;I;J;A;F;C;A;B;B;B;B;B;B;B;D;F;B;B;B;B;B;B;B;A;A;A;B;C;A;B;B;A;B;C;B;F;C;B;C;F;B;B;E;A;A;B;B;A;A;A;A;B;A;B;B;A;G;E;F;B;A;B;8;6;7;2;1;4;2;8;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
615;2002;2;M;1100080;COSTA MARQUES;11;RO;1100080;COSTA MARQUES;11;RO;2;1;1;1;V;21.21;27.45;23.81;24.24;26.67;25.4;BBBAEADBCEACCABCDEBDBAADEBCCBBEADCDDBCBCCBADCDCDADECDEAACDEDBAA;CDBCBACDEEDBCCECCACABAACEBEADEEACDEACEBACDCBBBCAEBBDBBDCACBEEED;P;75;75;62.5;50;62.5;65;1;B;A;B;A;A;B;A;A;B;B;A;B;B;D;E;H;H;D;B;C;H;E;C;B;C;A;A;B;A;C;A;B;A;A;A;A;A;C;B;B;E;.;.;.;.;.;I;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;B;C;C;A;A;C;A;A;A;B;B;B;B;B;B;B;C;8;8;6;6;6;0;0;7;6;7;4;2;3;3;7;3;A;B;B;B;B;B;B;A;A;A;A;A;A;B;B;B;*;8;5;3;3;4;4;6;6;*;5;6;I;H;F;F;B;A;B;B;B;B;B;A;A;B;E;B;B;B;A;B;B;A;C;B;B;C;A;B;B;C;B;B;A;E;F;C;B;A;F;A;B;D;B;B;B;A;A;A;A;A;B;A;A;B;B;E;G;F;*;A;E;5;8;6;3;2;3;1;1;A;B;B;A;B;B;B;B;B;B;B;B;A;A;B;B;B;B;B;B
616;2002;4;M;1100155;OURO PRETO DO OESTE;11;RO;1100155;OURO PRETO DO OESTE;11;RO;2;1;1;1;A;33.33;35.29;35.71;39.39;35.56;36.51;DCCAACCECACAEEEAEEDEBECEECDCEAEEEDDACEDABDCABBDCEEEDBDDAEBCDCBB;ACEEDBCCECCACABACBAEBEEDEADCDBEEAACEBBBCACDCBCDCDEDBBDCACBEAEBB;P;62.5;62.5;50;62.5;50;57.5;1;B;C;A;A;A;B;B;.;.;.;A;.;.;F;E;C;B;D;B;H;D;C;A;F;A;F;F;A;F;A;F;A;A;B;A;A;B;B;B;A;B;C;A;C;A;A;F;H;A;A;B;B;A;B;C;B;B;A;B;A;A;B;A;A;A;B;A;A;A;C;A;A;B;C;A;A;B;A;B;B;A;C;B;B;B;A;7;5;5;8;3;0;0;5;5;8;3;9;9;8;0;0;A;A;A;B;B;B;A;A;A;A;B;B;B;B;A;B;6;8;8;5;8;8;5;8;7;8;7;7;H;*;A;A;A;A;B;B;A;B;B;A;B;C;D;A;B;B;A;B;B;B;B;A;A;A;A;A;A;A;A;C;C;A;F;C;B;C;C;F;D;F;B;B;B;A;A;A;A;A;B;A;B;B;A;D;E;G;D;A;C;8;8;8;1;5;5;5;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
617;2002;3;M;1100122;JI-PARANA;11;RO;1100122;JI-PARANA;11;RO;2;1;1;1;V;72.73;64.71;61.9;66.67;66.67;66.67;CDBABACDEBDBCCCEAACDAAACEBECEEBCADEAEEBECCCDEBDDEBBDBBAAACBEEEE;CDBCBACDEEDBCCECCACABAACEBEADEEACDEACEBACDCBBBCAEBBDBBDCACBEEED;P;100;87.5;75;75;62.5;80;1;B;B;B;A;A;B;A;A;B;B;A;B;B;E;E;.;E;C;E;G;E;E;C;F;B;F;F;A;A;B;A;A;A;B;A;A;A;A;B;B;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;C;B;A;B;B;A;A;B;A;B;B;A;B;A;B;B;B;8;8;6;6;7;6;0;7;7;7;8;9;9;9;0;7;A;A;A;B;A;A;A;A;A;A;A;B;A;B;A;B;8;9;9;7;*;*;8;8;6;6;8;8;H;I;A;E;B;A;B;B;B;A;B;A;B;B;E;B;B;B;A;B;B;B;A;B;A;A;A;A;A;A;A;B;C;A;A;C;B;C;F;E;F;E;B;B;A;A;A;A;A;A;B;B;A;A;A;D;E;F;B;A;A;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
618;2002;4;F;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;2;1;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
619;2002;5;F;1100023;ARIQUEMES;11;RO;;;;;;;;1;B;15.15;29.41;30.95;27.27;31.11;28.57;BDACCECCCDDBCCADAECDBDAEACDDCBDBCBDBECCEEEEEEECDBACAABDEEBACDEE;ABAEADBCCACECCEEDACCBECBAEBEEDBBCCDBAEBBEEAACEBACDCBCDCDEDBBDCA;P;50;50;50;50;50;50;1;A;D;A;B;E;B;B;B;A;A;B;A;B;B;A;C;B;D;D;A;H;B;A;F;F;F;F;A;F;A;F;F;B;B;A;A;B;B;D;A;A;E;A;A;H;.;.;.;.;A;A;A;A;B;A;A;B;A;A;B;A;B;A;A;A;A;A;A;A;D;A;D;A;C;A;B;B;B;B;B;B;A;B;B;B;A;0;0;8;9;0;5;9;0;9;0;0;0;0;7;0;9;A;A;A;A;B;B;A;A;A;A;A;B;A;B;A;B;*;*;*;*;*;*;*;*;8;9;*;*;K;J;F;F;B;A;B;B;B;B;B;A;A;D;B;B;B;A;A;B;B;B;A;A;A;A;A;A;A;A;A;B;C;B;F;B;B;C;F;A;F;A;B;B;B;B;A;A;A;A;B;A;B;A;A;E;B;D;*;C;B;1;5;2;8;4;2;5;1;C;B;B;B;B;A;B;*;A;A;B;B;A;B;A;B;A;A;A;A
620;2002;3;F;1100262;RIO CRESPO;11;RO;1100262;RIO CRESPO;11;RO;2;1;1;1;B;21.21;29.41;35.71;27.27;22.22;26.98;CBAECEADCDDAEEEBAEABDDECEBEECABBCBDBDEAEAEBEDABEADEBDBDEBCBDABE;ABAEADBCCACECCEEDACCBECBAEBEEDBBCCDBAEBBEEAACEBACDCBCDCDEDBBDCA;P;37.5;50;37.5;37.5;37.5;40;1;A;B;A;A;A;.;A;A;.;.;.;.;.;C;E;B;B;A;H;G;H;C;A;F;F;F;A;A;F;F;A;A;A;B;A;A;B;B;B;C;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;B;A;A;B;C;A;C;B;B;B;B;B;B;B;B;A;C;9;9;0;6;0;0;9;0;9;0;0;0;0;0;.;9;A;B;B;B;A;B;.;A;A;A;A;B;A;B;A;B;*;*;9;9;*;*;9;*;*;*;9;*;J;J;F;F;B;B;B;B;B;B;B;B;B;D;E;B;B;B;A;B;B;B;B;B;A;A;B;A;A;C;A;B;C;D;*;D;B;C;A;B;F;D;B;B;B;A;B;A;A;A;B;A;A;B;A;D;E;B;C;A;A;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
621;2002;2;F;1100262;RIO CRESPO;11;RO;1100262;RIO CRESPO;11;RO;2;1;1;1;A;12.12;15.69;9.52;18.18;13.33;14.29;DBCDCDBCEDCCDECCDCDECADCACDDCDBBCCBDDCCEDBDDAADCADCDEBDABAADAEE;ACEEDBCCECCACABACBAEBEEDEADCDBEEAACEBBBCACDCBCDCDEDBBDCACBEAEBB;P;50;50;50;50;50;50;1;A;A;A;A;A;B;A;A;B;B;A;B;B;F;E;B;C;A;*;G;H;C;A;F;A;F;A;A;F;A;A;F;A;B;*;A;B;A;D;B;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;B;A;A;B;C;A;A;B;A;B;A;B;B;*;C;B;C;8;8;2;3;9;0;0;0;7;6;0;8;7;6;9;3;A;B;A;B;B;*;A;A;B;A;B;B;A;B;B;B;8;*;9;8;9;9;2;8;1;6;3;2;F;F;A;*;B;A;B;B;A;A;B;A;A;D;F;B;B;B;A;B;B;B;B;B;A;B;C;B;A;C;A;B;D;E;F;E;B;C;C;G;B;D;B;B;B;A;A;B;A;A;B;A;B;A;A;E;D;*;B;A;A;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
622;2002;2;F;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;2;1;1;1;V;24.24;29.41;26.19;30.3;24.44;28.57;ECBEAACABBECBEBBCABEEABCECBEEBEABDEEBCCDADEEDBDDDBBACCEDAEBACCE;CDBCBACDEEDBCCECCACABAACEBEADEEACDEACEBACDCBBBCAEBBDBBDCACBEEED;P;50;50;50;50;50;50;1;A;A;A;A;A;B;A;A;B;B;B;B;B;B;E;B;B;D;E;G;.;C;A;A;A;F;F;A;F;A;F;A;A;A;A;A;B;B;B;C;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;B;A;A;B;A;A;A;B;A;B;B;B;B;B;B;B;B;0;9;7;8;8;8;8;9;8;9;9;9;8;9;9;8;A;A;A;B;*;A;B;A;A;A;A;B;A;*;A;B;8;*;*;8;9;9;9;9;9;8;9;9;J;I;A;B;A;A;B;B;B;B;B;A;A;D;D;B;B;B;A;B;B;B;B;B;B;B;B;B;B;C;B;C;B;C;F;A;B;C;B;E;C;B;B;B;B;A;B;A;A;A;B;A;B;B;A;D;E;F;B;F;C;8;8;7;6;8;6;8;7;.;B;B;B;B;B;B;.;.;.;.;.;.;.;.;.;.;.;.;.
623;2002;5;F;1101401;MONTE NEGRO;11;RO;1101401;MONTE NEGRO;11;RO;2;1;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
624;2002;3;F;1100940;CUJUBIM;11;RO;1100940;CUJUBIM;11;RO;2;1;1;0;;0;0;0;0;0;0;;;F;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
625;2002;1;F;1100023;ARIQUEMES;11;RO;1100023;ARIQUEMES;11;RO;2;1;1;1;R;48.48;49.02;42.86;45.45;48.89;47.62;BCEEBBDDBDDDADAEECDEBECDBCCDCDEBDEBBEDEDCBBCEDDEBCABBCDCABDADEE;EADCBACDBABAACACEBEEDBCCECCACAEBBEBEEDEEABBCACDCBCDDBBDCACDECBE;P;50;50;37.5;37.5;50;45;1;A;A;B;A;A;B;B;B;B;B;B;A;B;D;E;I;E;J;.;B;D;A;A;A;C;A;A;B;A;.;B;F;A;B;A;A;B;*;B;B;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;A;A;A;B;A;A;A;B;A;B;B;B;B;B;C;B;B;8;5;0;2;7;0;0;5;5;0;5;6;7;5;0;4;A;A;B;B;A;B;A;B;B;A;A;B;A;B;A;B;8;9;8;8;8;*;1;8;5;9;3;7;H;G;B;I;E;A;B;B;B;B;B;A;B;*;E;B;B;B;B;B;B;B;A;B;A;A;B;B;A;C;A;C;C;A;F;E;A;G;B;F;E;F;B;B;B;A;B;A;A;B;B;A;B;A;A;E;B;D;B;A;E;8;8;8;8;8;2;3;1;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
